x, y
0.00200000,  3.00830000
0.02000000,  3.07480000
0.04610000,  3.16200000
0.07820000,  3.24930000
0.11620000,  3.34900000
0.14630000,  3.39060000
0.17640000,  3.44460000
0.20640000,  3.47780000
0.24850000,  3.53190000
0.29660000,  3.56090000
0.33670000,  3.58170000
0.37680000,  3.60660000
0.41280000,  3.61910000
0.45890000,  3.63570000
0.50100000,  3.66070000
0.56310000,  3.69390000
0.61520000,  3.73130000
0.65930000,  3.76870000
0.71340000,  3.81440000
0.78160000,  3.87260000
0.83570000,  3.93490000
0.87370000,  3.98890000
0.91180000,  4.03880000
0.94190000,  4.07620000
0.97600000,  4.13430000
0.99000000,  4.20080000
0.99600000,  4.25480000
